handset_type,average_throughput_kbps,average_TCP_retransmission_bytes
Lenovo Lenovo B Lenovo Vibe B,24272.333333333332,25677.333333333332
Lenovo Lenovo K50-T3S,746,20809914.27034193
Lenovo Lenovo K52E78,5452,15362
Lenovo Moto C,1745,7095
Lenovo Moto C Plus Lc12988845,9959.5,10484126.635170965
Lenovo Moto E,16138,2660
Lenovo Moto E (2Nd Gen) With 4G Lte St12406045,10823,6231500.054068386
Lenovo Moto E (3Rd Gen) Ta12892945,328,20809914.27034193
Lenovo Moto E (4Th Gen),1681.5,10419514.135170965
Lenovo Moto E Plus (4Th Gen),172,35652
Lenovo Moto E Plus (4Th Gen) Go12071045,10642.634615384615,6951307.053553596
Lenovo Moto G,3220.3333333333335,10498939.968504297
Lenovo Moto G (2Nd Generation) Xt1064 Ti12402745,16,20809914.27034193
Lenovo Moto G (2Nd Generation) Xt1068 Indr000145,11516,164820
Lenovo Moto G (3Rd Gen),25795,69311
Lenovo Moto G (3Rd Gen) Ca12459445,13488.42857142857,6267244.791526265
Lenovo Moto G (4Th Gen) Af12802745,10402.6,196667.1
Lenovo Moto G (5Th Gen S) D012081145,22767.333333333332,7409733.756780643
Lenovo Moto G (5Th Gen) Da12936945,1723,6040
Lenovo Moto G (5Th Gen) Da12984545,16342.42857142857,17866042.33014654
Lenovo Moto G (5Th Gen) Da12985045,29460,344934
Lenovo Moto G (5Th Gen) Indr003546,15218.052631578947,5487052.951650932
Lenovo Moto G Play (4Th Gen) Ju12738345,7629,890331
Lenovo Moto G Play (4Th Gen) Ju12797645,12639.4,9528562.508136772
Lenovo Moto G Plus (4Th Gen) Af12802845,25679.2,4321667.054068386
Lenovo Moto G Plus (5Th Gen) Co128983645,14644,5577
Lenovo Moto G Plus (5Th Gen) Co12984045,26811.5,2190763.5
Lenovo Moto G With 4G Motorola M0Fa8,10045,16652533.016273543
Lenovo Moto G Xt1032,8584,10962879.135170965
Lenovo Moto X (2Nd Generation) X112360445,9631,538158.5
Lenovo Moto X (4Th Gen) Ib12266545,115,20809914.27034193
Lenovo Moto X Play,9589,1674
Lenovo Moto X Play Lx12506245,10464,254047
Lenovo Moto X Style,21614,299563
Lenovo Moto X Style Indr001145,11824,1775619
Lenovo Moto Z Force (2Nd Gen) Ge12072245,252,8868168
Lenovo Moto Z Play (2Nd Gen) Ho12005845,6807.015308888888,386720
Lenovo Moto Z Play Vx12752445,35150,299169.5
Lenovo Moto Z Ve12657645,15848,3024874
Lenovo Motorola Moto G (2Nd Generation) Xt1068 Ti12402545,313,22593
Lenovo Motorola Razr I Sm12334645 M0D12 Xt890,395,132497
Lenovo Nexus 6 Valocia,15638,10457621.635170965
Lenovo P2 Ku12842445,23071.4375,2237922.3125
Lenovo Ro12524245,25736.333333333332,7138484.42344731
Lenovo Sl12367645,11862.5,6941901.317585482
Lenovo Xt1772,6759.125,7815944.601378223
Lenovo Za12074545,10758.5,799
Lephone U Pro,44226,850582
Lg C70,11012,116721.5
Lg Ck,391,20809914.27034193
Lg G2,249,9464294
Lg G3,30373.76148166667,9941945
Lg G4,18215,6939463.090113976
Lg G4C,17766.333333333332,10684262.756780643
Lg G6,28317.568197555556,12456205.802712258
Lg G6+,13300.045926666666,27063262
Lg Gt540,17,1330
Lg K10,49184,1575702
Lg K10 2017,678,20809914.27034193
Lg L Bello,9716.583333333334,1444496.9166666667
Lg L80,2724.5,912533.5
Lg Leon,609,227430
Lg Lg-D315,12,92
Lg Lg-D620Fr,8736,1482046
Lg Lg-D722,18865,1054610
Lg Lg-E610,343.875,7805483.976378223
Lg Lg-H635,24458.666666666668,15748240.180227952
Lg Lg-H818P,40679,1865530
Lg Lg-P700,302.85714285714283,2992271.467191704
Lg Lg-T385,0,20809914.27034193
Lg Lg-X145,373,37452
Lg Lm-G710Em,21836,3275
Lg Lm-X410Eow,508,20809914.27034193
Lg Nexus 4 (E960),8756.5,8578689.5
Lg Nexus 5,11210,11338839.70813677
Lg Nexus 5X,14522.155979047619,3657842.8957631327
Lg Optimus L3 Lg-E400,285,1330
Lg Optimus L5 Ii,1999.6666666666667,134108
Lg V20,851,834
Lg V30+,16605,3500016
Lg X Power2,18334,1733509
Lg-As330,587,1598296
Lg-H410,2957,97665
Lg-H791,32752,631042
Lg-H791F,1552,20809914.27034193
Lg-H811,5540,7647
Lg-H815,28027.25,6780526.222987901
Lg-H850,25034.214285714286,6327447.220097694
Lg-H860,37502.5,10405261.635170965
Lg-H870Ds,12944.75,5425208.067585482
Lg-H870S,22018,13032872.635170965
Lg-K100,13433.5,10684350.635170965
Lg-K100Ds,10305,6650
Lg-K120E,11881.166666666666,6944825.590113976
Lg-K350Nds,8625.714285714286,8698431.181477418
Lg-K420N,9664,7449485.090113976
Lg-K430Ds,1426,535
Lg-K520,6936,266192
Lg-K600Y,16090,4169
Lg-M160,4401,34446
Lg-M200N,15440.333333333334,7323448.756780643
Lg-M320N,26128,8664
Lg-M400Dy,4147,28409711
Lg-X210,1209,23623
Lg-X210Ds,6910,9109271
Lg-X230Fv,14146,1406558
Lgms631,8700,355061
Lidaxin Technolo. Glida Be09,7551,3896916
Lidaxin Technolo. My81,4548,1645758
Logicom Sa Id Bot 54,365,20809914.27034193
Logicom Sa L-Egant One,10840,237538
Logicom Sa L-Ement 400,0,20809914.27034193
Logicom Sa L-Ement 403,4097.888888888889,8533604.312336199
Logicom Sa L-Ement 505 T580,6722,817727
Logicom Sa L-Ement 551,16460,22473739
Logicom Sa L-Ement 553,1113,583751
Logicom Sa L-Ite 400M,7430.5,10572133.635170965
Logicom Sa L-Ite 504Hd,23959,239141
Logicom Sa L-Ite 552,13620.666666666666,391457.3333333333
Logicom Sa Le Hello,7192.8,8877743.8
Logicom Sa Le Lift,226,10443027.635170965
Logicom Sa Le Must,35,20809914.27034193
Logicom Sa Le Smooth,6925,177210
Logicom Sa Le Up,9286,5533492.5
Logicom Sa Logicom B Bot 50,1705,20809914.27034193
Logicom Sa Logicom Id Bot 53+,255,7970116
Logicom Sa Logicom Id Bot 553+,257,20584065
Logicom Sa Logicom Le Moov,2127.3333333333335,779104.6666666666
Logicom Sa Logicom Power Bot,155,20809914.27034193
Logicom Sa Logicom Vr Bot 552+,10357,2660
Logicom Sa M Bot 60,4555,8809624.423447309
M S Soha Enterp. Qphone Q70,7961,2935430
Maysun Info Tech. M4028,9770,3401517
Maysun Info Tech. M5026,993,20809914.27034193
Maysun Info Tech. M5046,40,20809914.27034193
Maysun Info Tech. Maysunm Mid5702,267,20809914.27034193
Meizu Technology. M3 Note,24509,579
Meizu Technology. M5,6443,10414425.635170965
Meizu Technology. M5 Note,42468,715841
Meizu Technology. M5C,1197,20809914.27034193
Meizu Technology. M6 Note,3376,3242876
Meizu Technology. Meizu U20,18920,118374
Meizu Technology. Mx5 Pro,32,20809914.27034193
Meizu Technology. Mx6,11306,125252
Meizu Technology. Pro 5,252,20809914.27034193
Meizu Technology. Pro 6 Plus,4931,1876820
Meizu Technology. Pro 6S,5075,2011868
Meizu Technology. Pro 7,8269,2159761
Microsoft Mobile. Microsoft Rm-1071 Microsoft Lumia 435,457,87558
Microsoft Mobile. Microsoft Rm-1075 Microsoft Lumia 640 Lte Dual Sim,6641.615384615385,11206249.201696275
Microsoft Mobile. Microsoft Rm-1089 Microsoft Lumia 535,3342.6666666666665,220009
Microsoft Mobile. Microsoft Rm-1090 Microsoft Lumia 535 Dual Sim,498,15295
Microsoft Mobile. Microsoft Rm-1099 Microsoft Lumia 435 Dual Sim,1911.4,8418386.108136771
Microsoft Mobile. Nokia Lumia 530 Dual Sim Rm-1019,2270.2,6313538.281102579
Microsoft Mobile. Nokia Lumia 530 Rm-1017,275.6666666666667,6970415.42344731
Microsoft Mobile. Nokia Lumia 630 Dual Sim Rm-978,622,20440
Microsoft Mobile. Nokia Lumia 630 Rm-976,504,13891220.513561286
Microsoft Mobile. Nokia Lumia 635 Rm-974,982.875,14762670.399825534
Microsoft Mobile. Nokia Rm-1034 Microsoft Lumia 532,4110.6,13702367.762205157
Microsoft Mobile. Nokia Rm-974 Nokia Lumia 635,439.3333333333333,20809914.27034193
Microsoft Mobile. Rm-1011 Nokia 225 Dual Sim,221.5,10496075.135170965
Microsoft Mobile. Rm-1062 Lumia 640 Xl Lte,4893,45
Microsoft Mobile. Rm-1065 Lumia 640 Xl Lte Dual Sim,1688.4,8851596.908136772
Microsoft Mobile. Rm-1072 Lumia 640 Lte,4698.424242424242,9673046.031973604
Microsoft Mobile. Rm-1072 Microsoft Lumia 640 Lte,7077.4,12605166.762205157
Microsoft Mobile. Rm-1085 Microsoft Lumia 950 Xl,15030,10515028.635170965
Microsoft Mobile. Rm-1089 Microsoft Lumia 535,465,10426272.135170965
Microsoft Mobile. Rm-1090 Microsoft Lumia 535 Dual Sim,861.1,8447594.808136772
Microsoft Mobile. Rm-1104 Microsoft Lumia 950,10696.666666666666,10476611.30183763
Microsoft Mobile. Rm-1116 Microsoft Lumia 950 Xl,1026.3333333333333,13902346.84689462
Microsoft Mobile. Rm-1118 Microsoft Lumia 950,165,42084
Microsoft Mobile. Rm-1127 Microsoft Lumia 550,5775.68,8419458.108136771
Microsoft Mobile. Rm-1152 Microsoft Lumia 650,6975.083333333333,10418357.135170965
Microsoft Mobile. Rm-1154 Microsoft Lumia 650 Dual Sim,1962.5,5204234.817585482
Mikrotikls Sia R11E-Lte,126,10405026.135170965
Mobiwire Sas Mobiwire Auriga,0,20809914.27034193
Modelabs Clap Plus 2,6247.2,574168.7
Modelabs Horizon M,10258,345076
Mptech Hammer Energy 18X9,72,20809914.27034193
Mundo Reader S.L. Aquaris U2 16+2,38513,543
Neel Enterprise Kolor Crosscall Odyssey,2119,103694.75
Neel Enterprise Kolor Crosscall Trekker-X1,15479,4558
Neel Enterprise Kolor Crosscalltrekker-X2,20792.5,5711026.666666667
Netgear Inc Aircard 810S,15430.209185333335,29760191.708136775
Netgear Inc Netgear Ac785S-100,12778,21465891.567585483
Netgear Inc Nighthawk Ac1900 Cat 6 Lte Gateway,7554.75,6067422.067585482
New-Bund Technol. Mix 2,13300.045926666666,11207179
New-Bund Technol. Thor,63091,2491350.25
Nokia 1661-2 1661,12974,687062
Nokia 520 Lumia 520 Nokia 520,1119.4807692307693,11650490.419998385
Nokia 610 Nokia 610,119.5,10416262.135170965
Nokia 620 Lumia 620 Nokia 620,1973.5,53423
Nokia 625 Lumia 625,597.5,166454
Nokia 800 Nokia 800,2770,529876
Nokia 820.1 Lumia 820,694,1330
Nokia 920.1 Lumia 920,128.5,20809914.27034193
Nokia 920.1 Lumia 920 Rm-821,8099.333333333333,13881154.84689462
Nokia 925.1 925.4 Lumia 925 Nokia 925,6325,842962
Nokia Lumia 1020,1079,18590
Nokia Lumia 520 Nokia 520,329,20809914.27034193
Nokia Lumia 630 Dual Sim Rm-978,1626,20809914.27034193
Nokia Lumia 635 Rm-974,1596.5714285714287,8953084.115860825
Nokia Lumia 635 Rm-975,43,20809914.27034193
Nokia Lumia 925 Lumia 925,37245,1330
Nokia N8-00,22,20809914.27034193
Nokia Rm-1017 530 Lumia 530,1117.5714285714287,6004717.791526265
Nokia Rm-1019 Lumia 530 Dual Sim,449,69160
Nokia Rm-1038 Nokia Lumia 735,2623.6363636363635,17047172.31209794
Nokia Rm-1045 Lumia 930 Nokia 930,500,20809914.27034193
Nokia Rm-1089 Lumia 535 Microsoft Lumia 535,350,7401271.42344731
Nokia Rm-1090 Lumia 535 Dual Sim Microsoft Lumia 535 Dual Sim,2878,95085.5
Nokia Rm-1091 Lumia 535 Microsoft Lumia 535,5306,13274923.135170965
Nokia Rm-914 520 Lumia 520 Nokia 520,551,43080
Nokia Rm-941 625 Lumia 625,647,17283
Nokia Rm-941 Nokia 625 Lumia 625,7293.5,7377796.067585482
Nokia Rm-976 Lumia 630,670,2660
Nokia Rm-980 Nokia X,25,20809914.27034193
Nokia Rm-984 Lumia 830 Nokia 830,5090.714285714285,15340641.764529949
Nokia Rm-998 525 Lumia 525 Nokia 525,873,9310
Nokia Test Imei,300,20809914.27034193
Nokia X,296,3990
Nubia Technology. M2 Play,30459,50965
Nubia Technology. Nx569H,7757,560802
Nubia Technology. Z17 Mini,22071,10914755
Nubia Technology. Z17S,11210.5,10417448.135170965
Oneplus Technolo. One A0001,9588.5,6817.5
Oneplus Technolo. One A1001 Oneplus A0001 One A0001,29413.5,1452636.25
Oneplus Technolo. One A2003,34130.666666666664,2883009.6666666665
Oneplus Technolo. One E1003,3880,118938.5
Oneplus Technolo. Oneplus 3,22891.846153846152,3602943.174641687
Oneplus Technolo. Oneplus 3T,19135,2704219.6609401754
Oneplus Technolo. Oneplus 5,31419.90466235294,3449655.599634661
Oneplus Technolo. Oneplus 5T,29776.481394509807,3568674.855334345
Oneplus Technolo. Oneplus 6,20937.388208586955,9747927.593342483
Oneplus Technolo. Oneplus 6T,16221.340450942027,10728802.648679415
Oneplus Technolo. Oneplus A3000,10074,1726511
Oneplus Technolo. Oneplus A3003,23218.6,4352544.454068386
Oneplus Technolo. Oneplus5T,19185.385326349206,2245604.012873425
Oppo 1201,4094,1195725
Oppo A1601,10386.6,9450690.054068387
Oppo A33F,33559,37733
Oppo A37F,29428,1047
Oppo A37Fw,9964,121078
Oppo Cph1609,22949.25,974269.75
Oppo Cph1701,50566,1010596
Oppo Cph1723,65257,46366
Oppo Cph1725,12359,932260
Oppo Cph1729,562,932756
Oppo Cph1821,1820,161631
Oppo Cph1837,33893.5,11798380.5
Oppo Cph1877,52551,10545489.135170965
Oppo Cph1893,12424.409185333334,7446376.654068386
Oppo Cph1903,18798,10406934.135170965
Oppo F1F,17277,2660
Oppo Pacm00,1585,248188
Oppo Pbam00,3079,20809914.27034193
Oppo R11S,4,20809914.27034193
Option Nv Option Gtm661W Globesurfer Iii+,8,20809914.27034193
Orbita Telecom L. Konrow,6147.272727272727,3129915.5454545454
Ovvi-Cellphone T. Echo,62935,17707521
Pacific Co (Bd). Nexus Nx14 Nx15 Nx65 Nx66 Nx8,478.3333333333333,9756623
Power Idea Techn. Rg160,79,19395
Power Idea Techn. Rg310,217,10407313.635170965
Power Idea Techn. Rg730 Md501 D1,423,20809914.27034193
Power Idea Techn. Ruggear Rg230 Ruggear Rg500 I.Safe Innovation2.0,53,20809914.27034193
Pt. Arga Mas Les. Advan S35D,107,66353
Qingdao Hisense. Cmb510,1723,20809914.27034193
Qingdao Hisense. Hisense C20,16205.666666666666,1651940.3333333333
Qingdao Hisense. Hisense F17,4212,7000214
Qingdao Hisense. Hisense F17 Pro,8358,253670
Qingdao Hisense. Hisense F20,1821.5,3152892
Qingdao Hisense. Hisense F23,15569.681975555555,3117409
Qingdao Hisense. Hisense F24,15577,20809914.27034193
Qingdao Hisense. Hisense F31,16050,13327482.635170965
Qingdao Hisense. Hisense L675,7056,10411454.135170965
Qingdao Hisense. Hisense L830,271,20809914.27034193
Qingdao Hisense. Hs-U606 Starshine 4 Hs-U961 U602 Hs-U601,251,1324634
Qingdao Hisense. Hs-U609 Hisense I500U Hisense E260U Hs-U607 Hs-U980 Pure 1 Eco,1439.6666666666667,10391.666666666666
Qingdao Hisense. S41,23955.5,20809914.27034193
Qingdao Hisense. Staraddict 6,409,20809914.27034193
Qingdao Hisense. Starxtrem 6,493,940549
Quanta 1Kg,211,111685
Quartel Infotech. Maximus M84,6292,30871978.135170966
Quectel Wireless. Quectel Ec21-E,2,20809914.27034193
Quectel Wireless. Quectel Ec25-E,1,20809914.27034193
Quectel Wireless. Quectel M10,3,20809914.27034193
Rainbow Communic. C45,5932.666666666667,8647119.090113977
Razer Inc Razer Phone,28469,2195574
Razer Inc Razer Phone 2,16605,337940
Rim 8520,0,20809914.27034193
Rim 9000 (At&T),60,1330
Rim 9780 Rcm72Uw Rcm73Uw (Fdd I Ii V Vi) (Generic),0,20809914.27034193
Rim Blackberry (Q5),4653,185933
Rim Blackberry 8520,0,20809914.27034193
Rim Blackberry 9300,0,20809914.27034193
Rim Blackberry 9320,0,20809914.27034193
Rim Blackberry 9360,0,20809914.27034193
Rim Blackberry 9720,0,20809914.27034193
Rim Blackberry 9790,0,20809914.27034193
Rim Blackberry 9800,0,20809914.27034193
Rim Blackberry 9860,0,20809914.27034193
Rim Blackberry 9900,0,20809914.27034193
Rim Blackberry Passport Sqw100-1 Rgy181Lw,611.5,10437985.385170965
Rim Blackberry Rhd131Lw (Str100-1),2368.75,10422551.385170965
Rim Blackberry Rhm181Lw (Stv100-4),34,20809914.27034193
Rim Blackberry Sqc100-1 Rhh151Lw,5445.333333333333,10432427.968504297
Rim Blackberry Sqc100-4 Rhg161Lw,44,20809914.27034193
Rim Blackberry Sqn100-3 Q10 Rfn81Uw,4620.083333333333,5483267.5450569885
Rim Blackberry Sta100-2 Z30 Rfw121Lw,276,5651
Rim Blackberry Stl100-1 Z10 Rfg81Uw,3873,1364719
Rim Blackberry Stl100-2 Z10 Rfh121Lw,5959.5,27679099.202756446
Rim Pearl 8100,0,20809914.27034193
Samsung 2018 Galaxy J4,16253,4769807.416666667
Samsung Galaxy A3 (Sm-A300X),10511.554945054944,6303217.828502409
Samsung Galaxy A3 (Sm-A310X),13186.718092504318,8000801.108824317
Samsung Galaxy A3 (Sm-A320),4881.868903486122,15915232.443379933
Samsung Galaxy A5 (Sm-A500X),8152.431818181818,4909269.98097126
Samsung Galaxy A5 (Sm-A510X),15932.239654333333,4730723.758719856
Samsung Galaxy A5 Sm-A520F,6263.4924625414005,15435092.243202824
Samsung Galaxy A5 Sm-A520F Ds,23795.9,4053218.827034193
Samsung Galaxy A6,5277.851851851852,15539859.822373413
Samsung Galaxy A6 (Sm-A605F),33034,245002
Samsung Galaxy A6 (Sm-A605Fn),6272.369820694445,15395798.74060221
Samsung Galaxy A6 Duos (Sm-A605G Ds),42295,1370883
Samsung Galaxy A6 Sm-A600Fn Ds,6080.336639963979,15741622.235233255
Samsung Galaxy A7 (Sm-A700X),15641.6,4692061.454068386
Samsung Galaxy A7 (Sm-A710X),38354,1365043
Samsung Galaxy A7 (Sm-A730F),37811,16487.5
Samsung Galaxy A7 2018,8284.748670240964,15730366.428472402
Samsung Galaxy A7 Sm-A720F Ds,25620.5,23085313.5
Samsung Galaxy A8 (2018),6268.956711663308,16578699.678742431
Samsung Galaxy A9 2018,19641.4,8925890.108136771
Samsung Galaxy Ace (Gt-S5830),920.8214285714286,13381973.138076955
Samsung Galaxy Ace (Gt-S5839I),408.2142857142857,11899190.954481103
Samsung Galaxy Ace 2 (Gt-I8160),2877.2,12557238.362205157
Samsung Galaxy Ace 3 (Gt-S7275),873,12500762.362205157
Samsung Galaxy Alpha (Sm-G850X),7950.133333333333,8894347.356780643
Samsung Galaxy C5 (Sm-C500X),40572.5,1614005
Samsung Galaxy Core 2 (Sm-G355X),3429,46394067
Samsung Galaxy Core Prime (Sm-G360X),8416.3125,9098328.347987901
Samsung Galaxy Core Prime (Sm-G361F),7412.206349206349,8974635.753135277
Samsung Galaxy Express Gt-I8730,10810,76548
Samsung Galaxy Grand (Gt-I9060X),4424.966216216216,7098858.68883461
Samsung Galaxy Grand 2 (Sm-G7105),14734.2,12537234.162205156
Samsung Galaxy Grand Prime (Sm-G530F),7563.308575108024,15223583.241375139
Samsung Galaxy Grand Prime (Sm-G530X),16909.418367346938,6898380.459746214
Samsung Galaxy Grand Prime Ve (Sm-G531X),9279.272727272728,6630301.334657741
Samsung Galaxy J1 (Sm-J100X),1362,4884431.926206451
Samsung Galaxy J1 (Sm-J120X),9027.153846153846,8492790.852412902
Samsung Galaxy J1 Ace (Sm-J111X),20407,1969804.3333333333
Samsung Galaxy J1 Mini (Sm-J105X),2241.75,33791871.81758548
Samsung Galaxy J1 Mini Prime (Sm-J106B),8599,323366
Samsung Galaxy J1 Pop (Sm-J110X),493,10405622.135170965
Samsung Galaxy J2,18843.916666666668,7225508.833333333
Samsung Galaxy J2 (Sm-J200X),1993,785741.5
Samsung Galaxy J2 2018 Duos (Sm-J250F Ds),8021,5049420
Samsung Galaxy J2 Core Sm-J260F Ds,14423,712015
Samsung Galaxy J2 Prime (Sm-G532),12625,5143858.951356129
Samsung Galaxy J3 (Sm-J320X),8748.304943546926,9399264.655109856
Samsung Galaxy J3 (Sm-J327),674,25342994
Samsung Galaxy J3 (Sm-J330),3746.85977764858,16336038.065942567
Samsung Galaxy J3 (Sm-J330G Ds),16357.285714285714,10748864.181477418
Samsung Galaxy J4,13077,6005784
Samsung Galaxy J4 Core,5857.5,10419143.635170965
Samsung Galaxy J4+,6958.55,19262874.79868806
Samsung Galaxy J5,13529.011481666666,47765098.81758548
Samsung Galaxy J5 (Sm-J500X),14126.98717948718,9817329.058584282
Samsung Galaxy J5 (Sm-J510X),14261.847328244276,6322300.25676715
Samsung Galaxy J5 (Sm-J530),3007.97961297875,17824183.60745453
Samsung Galaxy J5 Prime Dual-Sim (Sm-G570F Ds),10800,1192113
Samsung Galaxy J6,5146.752634048929,15428294.46390486
Samsung Galaxy J6+,5175.8690006574625,15793993.447078276
Samsung Galaxy J7,6742.098569458333,14255780.223441336
Samsung Galaxy J7 (Sm-J700X),6867.75,1254038
Samsung Galaxy J7 (Sm-J701F Ds),11296.307692307691,4624981.4054109175
Samsung Galaxy J7 (Sm-J701F),21243,1197
Samsung Galaxy J7 (Sm-J710X),15909.118705035971,4177997.3466928047
Samsung Galaxy J7 (Sm-J730),5985.156949738095,15459257.956237538
Samsung Galaxy J7 Prime (On7) Duos (Sm-G6100),22402,1795769
Samsung Galaxy J7 Prime Duos (Sm-G610F Dd),26744.75,10627.75
Samsung Galaxy J7 Prime Duos (Sm-G610F Ds),10213.111111111111,5754851.918926882
Samsung Galaxy J8 2018,27201,115752646
Samsung Galaxy K Zoom Sm-C111,14427,1395470
Samsung Galaxy Mega (Gt-I9205),19743,1143949
Samsung Galaxy Mega Duos (Gt-I9152),16594,2632318
Samsung Galaxy Mini (Gt-S5570),743.6,8794283.308136772
Samsung Galaxy Mobile (E.G. A3Lschi535),12110,5369
Samsung Galaxy Note (Gt-N7000),3008.8333333333335,3565844.211723655
Samsung Galaxy Note 2,3236.3333333333335,5004877.333333333
Samsung Galaxy Note 2 (Gt-N7100),4630.272727272727,4620104.685516714
Samsung Galaxy Note 2 (Gt-N7105),21867.666666666668,3643908.8783903215
Samsung Galaxy Note 3 (Sm-N9002),3842,266318
Samsung Galaxy Note 3 (Sm-N9005),13673.846153846154,5339317.216232752
Samsung Galaxy Note 3 (Sm-N900X),390,669381
Samsung Galaxy Note 4 (Sm-N910X),18919.68404699187,3568174.2149030683
Samsung Galaxy Note 5 (Sm-N920X),23293,211476.5
Samsung Galaxy Note 8,8426.692307692309,14476843.841005951
Samsung Galaxy Note 8 (Sm-N9500),27,334
Samsung Galaxy Note 8 (Sm-N950F Ds),5185.059146111111,15647038.443995366
Samsung Galaxy Note 8 (Sm-N950F),10217.288046499889,14074581.342151029
Samsung Galaxy Note 8 (Sm-N950U),3,20809914.27034193
Samsung Galaxy Note 9,21944,828918.5
Samsung Galaxy Note Edge (Sm-N915X),7115.5,44133.5
Samsung Galaxy Note5 (A3Lsmn920P),2845,272315
Samsung Galaxy Note9,8294.79491232821,15415035.75147604
Samsung Galaxy On 7,42003,10752985
Samsung Galaxy On5 (Sm-G550X),689,2008204
Samsung Galaxy Pocket Gt-S5301,220,2660
Samsung Galaxy S (Gt-I9000),660.125,18741142.861549187
Samsung Galaxy S10,9971.481157610147,14185878.060402077
Samsung Galaxy S2 (Gt-I9100),1995.3095238095239,11216514.570179107
Samsung Galaxy S3 (Gt-I9300),4121.166666666667,5632721.645056988
Samsung Galaxy S3 (Gt-I9305),6986.333333333333,7313637.256780643
Samsung Galaxy S3 Mini (Gt-I8190),1999.7222222222222,4832240.171187095
Samsung Galaxy S3 Mini Ve(Gt-I8200X),1105,882691.3333333334
Samsung Galaxy S3 Neo(Gt-I9301X),2574,5851700.067585482
Samsung Galaxy S4 (Gt-I9500),9576,454377
Samsung Galaxy S4 (Gt-I9505),13624.234353925927,8904350.129454909
Samsung Galaxy S4 (Gt-I9515),15425,342487.5
Samsung Galaxy S4 (Sgh-I337M),122,3990
Samsung Galaxy S4 Active Gt-I9295,39814,54932
Samsung Galaxy S4 Advance (Gt-I9506),13866,676305
Samsung Galaxy S4 Mini (Gt-I9195),7971.192,8133816.770404462
Samsung Galaxy S5 (Sm-G900F),13800.448275862069,7755896.685243158
Samsung Galaxy S5 (Sm-G900W8),16941,270917
Samsung Galaxy S5 (Sm-G900X),3770.4,1814585
Samsung Galaxy S5 Lte-A (Sm-G901X),14912.6727556,4343263.667034193
Samsung Galaxy S5 Mini (Sm-G800X),10485.607142857143,10910855.6554182
Samsung Galaxy S5 Neo (Sm-G903),21338.85759674074,3559600.3087198557
Samsung Galaxy S6 (A3Lsmg920P),10746.5,1786648.5
Samsung Galaxy S6 (Sm-G920X),7952.531924154375,13897021.354765361
Samsung Galaxy S6 Edge (Sm-G925X),8085.747830204402,13015482.920539435
Samsung Galaxy S6 Plus (Sm-G928),8191.729166666667,13144216.832633128
Samsung Galaxy S7 (Sm-G930X),7776.687060205438,14684855.661009954
Samsung Galaxy S7 Edge (Sm-G935X),8881.324101566193,13874268.788730659
Samsung Galaxy S8 (Sm-G950F),9322.183297020407,14626241.50674679
Samsung Galaxy S8 (Sm-G950Fd),9678.102135349794,13226129.759524316
Samsung Galaxy S8 (Sm-G950U),9797.333333333334,2084622.3333333333
Samsung Galaxy S8 Edge (Sm-G955U),13480,3428168
Samsung Galaxy S8 Plus (Sm-G955F),9513.961195992402,15068816.334348118
Samsung Galaxy S8 Plus (Sm-G955Fd),9106.255986038012,15197665.7504063
Samsung Galaxy S9,8813.58941611582,15282568.381511465
Samsung Galaxy S9 Plus (Sm-G965F),8927.765138832421,15161415.099873522
Samsung Galaxy S9 Sm-G960F,23003.733333333334,7227004.823447309
Samsung Galaxy S9 Sm-G960F Ds,9861.48137696149,14543491.943296392
Samsung Galaxy S9 Sm-G960N,43317,192826
Samsung Galaxy S9+,60610,20809914.27034193
Samsung Galaxy Tab A (Sm-T285),21207.5,481104.25
Samsung Galaxy Tab A (Sm-T555),23225.68197555556,7583383.756780643
Samsung Galaxy Tab A (Sm-T585),12171.75,24803417.601378225
Samsung Galaxy Tab A2 Xl,458,78470
Samsung Galaxy Tab Active Sm-T365,12422.25,7496358.567585482
Samsung Galaxy Tab E (Sm-T561),8186,1439748
Samsung Galaxy Tab S2 (Sm-T719),28434.666666666668,6937033.42344731
Samsung Galaxy Tab S3 (Sm-T825),25041.5,2927120.283792741
Samsung Galaxy Trend (Gt-S7560),829.875,5870793.513533668
Samsung Galaxy Trend Lite (Gt-S7390),2051.793103448276,8561841.043820132
Samsung Galaxy Trend Lite 2 (Sm-G318X),2285.029411764706,8623986.791750474
Samsung Galaxy Trend Plus (Gt-S7580),4333,39898
Samsung Galaxy Wave 2 (Gt-S8530),19,20809914.27034193
Samsung Galaxy Wave Y (Gt-S5380),2,20809914.27034193
Samsung Galaxy Xcover 2 Gt-S7710,350.5,10405622.135170965
Samsung Galaxy Xcover2 Gt-S7710,6373.5,1235725
Samsung Galaxy Xcover4 Sm-G390F,4296.147478070176,16094136.260178065
Samsung Galaxy Y,18,20809914.27034193
Samsung Galaxy Y (Gt-S5360),54.588235294117645,15916327.147908533
Samsung Galaxy Y (Gt-S5369),17,20809914.27034193
Samsung Galaxy Young (Gt-S5310),3465.5,10418884.635170965
Samsung Google Nexus (Gt-I9250),0,20809914.27034193
Samsung Gt-B3210C,375,662832.5
Samsung Gt-B5510,40,20809914.27034193
Samsung Gt-C3590,161,55860
Samsung Gt-I5500,35,20809914.27034193
Samsung Gt-I5510,29.75,15607454.202756446
Samsung Gt-I5700,31,20809914.27034193
